# 账户信息: 账号,户主,PIN哈希,Salt值,余额,状态
03150005,Joe,ada019ce951f2aa89705e4943a3ba20bdcd352aadae7a112bc85063abf6f459e,a8cf243d80e51aadf484091a6ae931e5,7000,0
03150006,Kelin,90124772d439bf49d9e9c0b220aba613044c2365afb98cbf416e88218d43e8c4,8e53da2d2ca638a83d96049539ffbf65,3000,0
03150007,Amanda,04fa813c636fe489211f37511bd434cdf8b41a79edb570a0ba2ad10990b4561a,bdf04596d493bfa4fa2c712dab4e4362,500,0
03150008,Jingjing,25f52c576703a145a258e832353205a285af3b400ab00bfefa9eed6167c0b78b,cd7bebc09a6b510eb654ad8da448491b,1000,0
03150005,Joe,d0932db64a5ff23187cbfe84e8814a9a4cb94d295eb8b1a154ebdbf0e4c32bf1,5d7e39020ecd65b2ad1c3620ab425937,5000,0
03150006,Kelin,0fc03209f3c9b727a3b74fb326105d6b64eccd5a71fa9dae36ceaea635d55aad,c52d6259c83b7de700cb18fcbf566c7e,1000,0
03150007,Amanda,c61c0225086f52bdbc006112964558b9c3e716f7347403da7a16515c340569df,36e502217487023d37502e9cc5ebb56d,500,0
03150008,Jingjing,f1c3a784d221548aa9b0d5aadb15f908a09ac530eda95b856a5bdf48c58934af,6b95d772603efc0aa94668ec49061bcf,1000,0
03150001,Neo,6d1859efa18903278e17240a976fe3a538d1f3c6169701875dbe8a4714498848,004bca4e58caadb01038ef6b1068b9c9,5000,0
03150002,Joucy,3755454f9c92b598ea0371ffeead99e4532bce58619da85c6fea59671d004901,82761d44d16c61e3431f98d8184eb6c1,1000,0
03150007,Amanda,23000f2b00e9a6cf9a244a0bd553aae68bab66b43b95ab3da5f679c547381c3b,4003ce84d9924ac15330f08eac03decf,500,0
03150008,Jingjing,70b670f94f565a82ab2652af55373e84f8e35116dff8576fa4e29c62104093b9,f0a35c41fd7bd2dcbdac60e741292d64,1000,0
03150001,Neo,2286407450e15a0b2399d2613b9a65934d829e2eaa1564146ead7c42106fa167,cffd6c12af41a2b3724938fc2e3d1721,5000,0
03150002,Joucy,a164425a420fc8d5d9646f80d36b72e98ab5ad8b6edb7459551dc50892bd0570,a6c7f6bf22948360591f75839c77766f,1000,0
03150001,Neo,f6d580f0a7483ca61cfa964bcc618dbc5ec7cc32237b266693c6139712e64f5a,37b21f6d7168193acd101b7f42a1f509,500,0
03150002,Joucy,672ec24adb72ea29c10b3cac2b5b6f90204567ab94f8ec36265866efc894382d,32cafbb6784067d05dbe16dd46536adc,1000,0
03150005,Kelin,fab05244983cc675e521b63603e817f2ae304c40972144fb3490512ec745fb4f,10af9c58ee1e69f95a017670ce797332,5000,0
