# 交易信息: 交易ID,汇款账户,目的账户,交易额,交易类型,交易时间
TXN1754432440,,03150003,45000,0,1754432440
TXN1754433442,,03150004,100000,0,1754433442
TXN1754674074,,03150005,40000,0,1754674074
TXN1754682668,,03150006,3000,0,1754682668
TXN1754683258,,03150006,400,0,1754683258
TXN1755082234,,03150001,45000,0,1755082234
TXN1755082261,,03150002,1e+06,0,1755082261
TXN1755082283,,03150003,6000,0,1755082283
TXN1755082735,,03150004,3000,0,1755082735
TXN1755082771,,03150004,1000,0,1755082771
TXN1755082815,,03150001,45000,0,1755082815
TXN1755082840,,03150002,1e+06,0,1755082840
TXN1755082885,,03150001,1000,0,1755082885
TXN1755084552,,03150001,1000,0,1755084552
TXN1755808562,03150002,03150001,2000,2,1755808562
TXN1755809314,,03150002,20000,0,1755809314
TXN1755855440,,03150002,20000,0,1755855440
TXN1755856536,,03150003,20000,0,1755856536
TXN1755856633,,03150005,2000,0,1755856633
TXN1755856688,,03150001,30000,0,1755856688
TXN1755896788,,03150001,30000,0,1755896788
TXN1755942073,,03150001,2000,0,1755942073
TXN1756068140,,03150003,2000,0,1756068140
TXN1756068292,,03150001,30000,0,1756068292
TXN1756068305,,03150002,30000,0,1756068305
TXN1756385352,03150001,03150002,2000,2,1756385352
TXN1756846525,,03150003,2000,0,1756846525
TXN1756846564,03150003,03150001,1000,2,1756846564
TXN1756989557,,03150004,5000,0,1756989557
TXN1756989582,,03150005,1000,0,1756989582
